time, accel 1, accel 2, accel 3, accel 4, accel top, accel bottom 
time - seconds (computed after test), deacceleration - kg, deacceleration - kg, deacceleration - kg, deacceleration - kg, deacceleration - kg, deacceleration - kg
5.220000000000001115e-04,7.469708108834729465e+00,2.632774328849464052e+00,2.797964725655361029e+00,2.787929937864359609e+00,2.808336971559156847e+00,0.000000000000000000e+00
5.240000000000001601e-04,9.332148108835571776e+00,3.042409328849585481e+00,2.919914725655442300e+00,2.991496937864419170e+00,3.203584971559148897e+00,0.000000000000000000e+00
5.260000000000001003e-04,1.078058810883501906e+01,3.234719328849581910e+00,3.197594725655525050e+00,3.160042937864470769e+00,3.073504971559217758e+00,0.000000000000000000e+00
5.280000000000000405e-04,1.243162810883437608e+01,3.828849328849351696e+00,4.004354725655216996e+00,3.536530937864330593e+00,3.343672971559106699e+00,0.000000000000000000e+00
5.300000000000000891e-04,1.509082810883585246e+01,4.609029328849792329e+00,4.522184725655633564e+00,3.941473937864722554e+00,4.034112971559486560e+00,0.000000000000000000e+00
5.320000000000001377e-04,1.795518810883496386e+01,5.379819328849548832e+00,5.306432725655464644e+00,4.965874937864491301e+00,4.867136971559281378e+00,0.000000000000000000e+00
5.340000000000000779e-04,2.068698810883400085e+01,6.267919328849215432e+00,6.653516725654913699e+00,6.918363937863677648e+00,6.688296971558505888e+00,0.000000000000000000e+00
5.360000000000000181e-04,2.140494810883428656e+01,6.749469328849724725e+00,8.315816725655647446e+00,8.737355937864615285e+00,8.399392971559482390e+00,0.000000000000000000e+00
5.380000000000000667e-04,1.820034810883523591e+01,8.114369328849317498e+00,9.428396725655282751e+00,1.008569593786421592e+01,1.024555297155893996e+01,0.000000000000000000e+00
5.400000000000001153e-04,1.630038810883492317e+01,9.846719328850412012e+00,1.147907672565704473e+01,1.332963593786604228e+01,1.360515297156063674e+01,0.000000000000000000e+00
5.420000000000000555e-04,1.596138810883463144e+01,1.175886932884975522e+01,1.497257672565573650e+01,1.630869593786460925e+01,1.634691297155943701e+01,0.000000000000000000e+00
5.439999999999999957e-04,1.454298810883507542e+01,1.464196932884875935e+01,1.764803672565491155e+01,1.795257593786410411e+01,1.827067297155884518e+01,0.000000000000000000e+00
5.460000000000000443e-04,1.415398810883445968e+01,1.862736932885013630e+01,1.890887672565567712e+01,1.908643593786483805e+01,1.928131297155957213e+01,0.000000000000000000e+00
5.480000000000000929e-04,1.238034810883480041e+01,1.981406932884949867e+01,1.982069672565539875e+01,2.019404593786439861e+01,2.022187297155920049e+01,0.000000000000000000e+00
5.500000000000000331e-04,9.746148108835519963e+00,1.943566932884965226e+01,2.011523672565544985e+01,1.903610593786497773e+01,1.899115297155982418e+01,0.000000000000000000e+00
5.519999999999999733e-04,8.839348108834579776e+00,1.924181932884935975e+01,1.791071672565490758e+01,1.664798593786417058e+01,1.654955297155906990e+01,0.000000000000000000e+00
5.540000000000000219e-04,7.253308108834997547e+00,1.788311932884970190e+01,1.532531672565563063e+01,1.575492593786443862e+01,1.614179297155920167e+01,0.000000000000000000e+00
5.560000000000000706e-04,6.778028108835408183e+00,1.540966932884860974e+01,1.484687672565527450e+01,1.538063593786405647e+01,1.538379297155884906e+01,0.000000000000000000e+00
5.580000000000000107e-04,7.848708108834761887e+00,1.362881932884941705e+01,1.437593672565533787e+01,1.480278593786433916e+01,1.490355297155914371e+01,0.000000000000000000e+00
5.599999999999999509e-04,7.400908108834947541e+00,1.327546932884948383e+01,1.380935672565555272e+01,1.374991593786481658e+01,1.374027297155968874e+01,0.000000000000000000e+00
5.619999999999999996e-04,6.545388108833835261e+00,1.317226932884894808e+01,1.230089672565467751e+01,1.125455593786371367e+01,1.107355297155857343e+01,0.000000000000000000e+00
5.640000000000000482e-04,3.190744108834799864e+00,1.132581932884949971e+01,1.039091672565539959e+01,9.490275937864399936e+00,9.497552971559199975e+00,0.000000000000000000e+00
5.659999999999999884e-04,7.929761088354700949e-01,1.016101932884986425e+01,9.465956725655697568e+00,9.415865937864273505e+00,9.457552971559072930e+00,0.000000000000000000e+00
5.679999999999999286e-04,1.338320108834934574e+00,8.766369328849252796e+00,8.876816725655240603e+00,9.833975937864487094e+00,1.020803297155934430e+01,0.000000000000000000e+00
5.699999999999999772e-04,1.912436108834747905e+00,7.298219328849730125e+00,8.192036725655462703e+00,1.035274593786431829e+01,1.083339297155913883e+01,0.000000000000000000e+00
5.720000000000000258e-04,2.896808108835225326e+00,6.715069328849495811e+00,8.372156725655143461e+00,9.566925937863796747e+00,9.640192971558699142e+00,0.000000000000000000e+00
5.739999999999999660e-04,3.883684108834884796e+00,6.802619328849498714e+00,7.524116725655314752e+00,8.282075937864311399e+00,8.807152971559142784e+00,0.000000000000000000e+00
5.759999999999999062e-04,5.562268108834218516e+00,6.547769328849660120e+00,5.437766725656244304e+00,6.066890937865308864e+00,7.038520971560007666e+00,0.000000000000000000e+00
5.779999999999999548e-04,7.767388108835648453e+00,4.588704328848645098e+00,1.970564725654500915e+00,2.190367937863345382e+00,2.968432971558039313e+00,0.000000000000000000e+00
5.800000000000000034e-04,1.108702810883461076e+01,1.815069328849629571e+00,-9.206432743444662448e-01,-1.585460062135401582e+00,-1.219215028440577830e+00,0.000000000000000000e+00
5.819999999999999436e-04,1.338850810883423570e+01,1.447649328849418104e+00,-1.183311274344760911e+00,-3.798426062135034975e+00,-4.844015028439554449e+00,0.000000000000000000e+00
5.839999999999998838e-04,1.267302810883469277e+01,1.888554328849592512e+00,1.731759256556705262e-01,-1.977271062135166124e+00,-4.303671028440328783e+00,0.000000000000000000e+00
5.859999999999999324e-04,1.165862810883496969e+01,3.153419328849227377e+00,2.970572725654895940e+00,1.925508937863781300e+00,2.191937715584368895e-01,0.000000000000000000e+00
5.879999999999999810e-04,9.877508108834323508e+00,5.340769328850111464e+00,5.647898725656110841e+00,4.928662937865522231e+00,3.899024971560551833e+00,0.000000000000000000e+00
5.899999999999999212e-04,8.834348108834758406e+00,6.702569328849547148e+00,7.370216725655495793e+00,7.944955937864584428e+00,7.796496971559468747e+00,0.000000000000000000e+00
5.919999999999998614e-04,8.227708108834949741e+00,7.682869328849147195e+00,9.497816725654590897e+00,1.152377593786317789e+01,1.273963297155759911e+01,0.000000000000000000e+00
5.939999999999999100e-04,8.512868108834712899e+00,9.466819328850089477e+00,1.246037672565573118e+01,1.421828593786442951e+01,1.551139297155915386e+01,0.000000000000000000e+00
5.959999999999999586e-04,8.227708108834814738e+00,1.116631932884943446e+01,1.279433672565543034e+01,1.351128593786448384e+01,1.478091297155926931e+01,0.000000000000000000e+00
5.979999999999998988e-04,8.091348108834916175e+00,1.071446932884981962e+01,1.146785672565593117e+01,1.211044593786485279e+01,1.291227297156004639e+01,0.000000000000000000e+00
5.999999999999998390e-04,6.255188108834474292e+00,1.061441932884952166e+01,1.099127672565523994e+01,1.070736593786415902e+01,1.042563297155892599e+01,0.000000000000000000e+00
6.019999999999998876e-04,3.616016108835292897e+00,1.063316932884953303e+01,9.287696725655818497e+00,8.542545937864854722e+00,8.171712971559630390e+00,0.000000000000000000e+00
